City Name,Temperature,Humidity,Cloudiness,Wind Speed,Latitude
Mari-Turek,277.78,91,80,5.21,56.79
Kirkuk,284.155,82,0,1.26,35.47
Assiniboia,275.78,50,0,4.11,49.63
Denpasar,302.38,67,0,1.01,-8.65
Rorvik,277.205,100,92,6.56,64.86
Yumen,281.28,45,0,2.01,40.29
Mohanur,298.155,90,0,1.96,11.06
Plouzane,281.15,93,20,2.1,48.38
Baykit,270.98,94,88,1.66,61.68
Belem de Sao Francisco,298.38,63,0,6.51,-8.75
Singaraja,302.38,67,0,1.01,-8.11
Beysehir,276.38,100,8,1.21,37.68
Safranbolu,282.455,93,88,0.91,41.25
Kavieng,301.705,100,24,2.21,-2.57
Jiquipilas,299.15,69,75,6.2,16.67
Ribeira Grande,293.405,99,24,10.11,38.52
Benguela,296.93,100,8,2.06,-12.58
Bathsheba,300.15,83,40,3.6,13.22
Chhatarpur,299.23,37,0,2.01,24.92
Rusape,283.38,89,80,3.66,-18.53
Adamovka,270.03,85,0,4.21,51.52
Havoysund,278.15,100,92,4.6,71
Burnie,285.98,100,0,10.61,-41.05
Nyanguge,294.98,76,12,9.06,-2.54
Banda Aceh,300.98,82,24,1.36,5.56
Torres,291.58,99,44,1.76,-29.34
Akureyri,277.15,51,0,2.6,65.68
Vestmannaeyjar,278.655,97,88,4.36,63.44
Omboue,298.93,100,92,4.01,-1.57
Coihaique,280.15,81,0,1,-45.58
Umm Kaddadah,291.28,40,32,1.31,13.6
Sisimiut,249.73,100,0,1.06,66.94
Chaihe,285.38,66,76,2.91,44.77
Aripuana,298.73,91,48,0.91,-9.17
Tateyama,293.15,40,75,4.1,36.66
Pangnirtung,262.33,100,32,3.51,66.15
Zomin,281.155,60,0,2.11,39.96
Zarechnyy,276.78,96,92,2.66,60.99
Porgera,287.58,100,92,0.06,-5.46
Portland,292.15,48,20,1.06,45.52
Mackay,280.15,52,5,2.1,53.65
Ouagadougou,300.15,65,0,1,12.37
Serenje,285.33,90,88,6.36,-13.23
Melville,274.15,59,1,2.6,50.93
Kargat,271.655,86,68,5.61,55.19
Sovetskiy,277.33,91,88,5.91,56.76
Luau,291.905,87,76,1.01,-10.7
Aksum,280.905,94,8,1.11,14.12
Alyangula,305.18,78,0,2.51,-13.85
Marabba,295.98,71,0,1.76,12.35
Rosarito,295.15,100,75,1,4.91
Gunjur,299.15,88,0,1.5,13.18
Shiyan,290.405,50,64,1.41,32.65
Grindavik,277.15,100,75,4.6,63.84
Oyama,291.15,45,75,1.5,36.31
Shakhtinsk,271.15,74,90,2,49.71
Acapulco,300.15,83,75,2.6,16.86
Palmas,297.055,89,12,1.41,-10.18
Gat,298.43,75,8,4.56,14.69
Kurtalan,286.15,100,40,1.5,37.93
Mattru,295.98,98,8,1.06,7.62
NEDJO,288.33,89,88,1.66,9.5
Bandarbeyla,297.705,100,44,2.11,9.49
Cockburn Town,300.68,100,68,7.41,21.46
Maldonado,288.15,72,0,6.2,-34.91
Prachuap Khiri Khan,301.43,83,0,1.31,11.81
Tocopilla,286.53,100,8,0.81,-22.09
Garowe,290.18,93,24,1.21,8.41
Wajima,292.15,59,40,3.1,37.4
Vallentuna,279.15,93,90,5.1,59.53
Machico,294.15,77,20,4.1,32.7
Nybro,280.15,87,92,6.2,56.75
Ahipara,291.905,71,32,3.76,-35.17
Port Hawkesbury,275.15,59,1,4.6,45.62
Margate,292.15,32,75,8.2,-43.03
Barpeta,297.15,100,40,1.91,26.33
Fuerte Olimpo,298.73,86,48,1.21,-21.04
Martapura,303.68,80,8,2.06,-3.41
Salalah,298.15,78,0,1,17.01
Te Anau,289.905,67,92,3.96,-45.41
Charters Towers,303.13,61,0,5.21,-20.07
Krasnorechenskiy,285.23,82,92,2.31,44.63
Sola,276.15,93,90,2.6,62.78
Araraquara,294.955,69,12,3.21,-21.79
Beisfjord,277.15,100,92,4.6,68.38
Ranong,299.15,94,40,1.5,9.96
Diffa,292.38,28,0,3.31,13.32
Homer,284.15,62,1,3.21,59.64
Senador Canedo,298.15,78,75,2.1,-16.7
Esso,270.18,91,32,1.31,55.93
Chernyshevskiy,271.43,91,76,1.61,63.01
Tinskoy,273.53,81,64,3.91,56.15
Nang Rong,299.15,94,40,1.81,14.64
Rocha,285.655,72,64,2.56,-34.48
Lisakovsk,271.455,84,0,5.36,52.55
Petropavlovsk-Kamchatskiy,281.15,42,0,1,53.05
Morozovsk,284.93,76,80,3.06,48.35
Itarema,298.305,87,8,6.01,-2.92
Merauke,306.28,59,8,4.46,-8.49
Villa del Rosario,296.15,100,90,0.71,7.83
Fortuna,294.15,82,0,2.1,38.18
Priiskovyy,276.33,79,8,3.21,51.93
Birao,294.905,80,32,3.41,10.3
Nakamura,290.15,63,75,3.1,35.17
Opuwo,290.805,84,88,1.61,-18.06
Mozarlandia,296.98,82,64,4.26,-14.74
Madang,300.83,89,44,1.16,-5.21
Maceio,296.15,88,20,2.1,-9.67
Egvekinot,263.38,75,36,1.16,66.32
Tsalenjikha,284.15,100,64,2.1,42.6
Saint-Joseph,288.15,87,0,2.1,43.56
Lagoa,292.15,77,0,1,37.14
Rivne,277.38,97,92,4.46,50.62
Rawson,275.555,91,0,1.91,-43.3
Kharp,271.03,94,92,6.46,66.82
Henties Bay,291.405,86,32,0.96,-22.12
Sabang,301.13,89,68,4.66,13.72
Challapata,275.18,85,44,0.86,-18.9
Great Falls,284.15,43,1,3.1,47.5
Moose Factory,274.15,74,90,5.1,51.26
Hamilton,280.15,93,20,2.86,43.26
Kruisfontein,289.655,73,0,3.21,-34
Alofi,297.15,78,12,7.7,-19.06
Shache,276.155,53,0,2.61,38.42
Balkhash,273.13,100,36,6.01,46.84
Barranco,287.68,89,32,1.96,-20.59
Qiqihar,283.78,50,12,3.66,47.35
Cayenne,298.15,88,0,1,4.94
Gornopravdinsk,272.88,89,92,4.46,60.06
Tsabong,291.03,44,92,6.76,-26.02
Tasquillo,284.58,97,32,1.56,20.55
Namie,288.15,76,75,0.5,37.52
Coahuayana,291.08,94,20,1.01,18.62
Chhuikhadan,298.78,68,0,2.01,21.52
Alanib,296.58,97,92,1.46,8.03
Teofilo Otoni,291.705,80,88,4.41,-17.86
Alta Gracia,287.15,93,75,3.6,-31.66
Vale da Amoreira,289.15,87,0,0.5,38.65
Haines Junction,272.68,100,80,0.76,60.75
Jaisalmer,294.63,50,0,1.86,26.91
Formosa,296.15,73,90,4.1,-26.19
Veliki Preslav,275.88,84,8,1.16,43.16
Floro,282.15,81,88,12.3,61.6
Antalaha,295.405,90,56,7.76,-14.9
Ahuimanu,304.15,74,20,5.7,21.44
Dunedin,293.58,49,0,3.66,-45.87
Lasem,304.305,73,20,0.96,-6.99
Ossora,275.055,100,0,1.46,59.24
Kalemie,301.48,75,92,8.21,-5.95
Luena,289.83,97,88,1.76,-11.78
Aguililla,291.38,97,80,0.96,18.74
Rasht,292.15,88,90,1.31,37.28
Krasnogorskoye,277.13,89,88,5.31,57.7
Ugoofaaru,301.905,99,12,5.21,5.67
Marovoay,296.15,69,20,2.1,-16.11
Boguchany,273.43,100,92,1.76,58.38
Libourne,285.15,93,0,3.6,44.91
Lompoc,291.15,77,1,3.1,34.64
Kodinar,299.93,45,0,1.41,20.79
Gacko,286.15,58,20,2.1,43.17
Seoul,289.15,63,75,3.1,37.57
Najran,294.15,52,0,1.11,17.54
San Quintin,302.15,62,20,2.1,17.54
Half Moon Bay,292.15,67,20,7.7,37.46
Lasa,294.15,63,88,5.1,34.92
Kununurra,308.15,47,0,3.1,-15.77
La Roda,288.15,87,75,3.1,39.21
Dubbo,302.15,72,8,5.7,-32.25
Huilong,290.405,92,68,1.41,28.89
Puntarenas,295.15,88,0,2.1,9.98
Corinto,293.68,74,12,3.11,-18.36
Ashland,284.15,50,1,2.1,38.48
Oksovskiy,274.23,96,68,2.41,62.61
Itaperucu,288.15,100,20,2.1,-25.22
Sibu,300.15,78,75,2.1,2.29
Yelizovo,281.15,42,0,1,53.19
Ojhar,296.655,67,20,1.76,20.09
Ayagoz,272.33,69,48,5.66,47.96
San Patricio,297.455,74,92,1.56,-26.98
Piacabucu,298.08,79,92,4.21,-10.41
Alderwood Manor,285.15,93,75,1.5,47.8
Kijang,293.15,64,0,1.5,35.24
Nantucket,282.15,70,90,2.1,41.28
Otjimbingwe,288.88,88,44,7.06,-22.35
Paramirim,292.53,85,56,4.51,-13.44
Eyl,296.78,100,92,2.21,7.98
Port Blair,301.055,100,48,1.61,11.67
Maloy,304.905,63,32,1.66,1
Jever,284.15,71,75,7.7,53.57
Buzmeyin,286.15,62,75,1,38.05
Saskylakh,256.455,78,48,2.71,71.97
Baturaja,301.48,100,20,2.06,-4.12
Taoudenni,296.73,37,0,5.11,22.68
Tandalti,298.38,62,0,0.16,13.01
Kargasok,270.88,76,64,2.76,59.06
Marystown,278.48,100,88,7.81,47.17
Kirkland Lake,276.15,93,90,2.6,48.15
Totma,278.455,99,92,5.41,59.98
Mehamn,276.48,100,92,5.26,71.03
Danielskuil,283.68,40,80,3.36,-28.19
Sao Luis,295.055,92,92,1.11,4.43
Loralai,281.03,64,0,1.91,30.37
Laguna,302.15,48,5,2.6,27.52
Hohhot,275.15,55,0,1,40.81
Khunti,291.15,88,32,2.06,23.08
Deogarh,297.905,89,0,1.86,21.53
Luwuk,304.98,62,8,2.51,-0.95
Konotop,271.805,82,0,2.06,51.24
Cabra,289.15,100,92,1.5,37.47
Aberdeen,279.15,45,1,2.1,45.47
Bonfim,292.15,72,0,4.6,-20.33
Turukhansk,271.33,84,76,4.36,65.8
Halifax,273.15,100,40,4.6,44.65
Hasaki,287.15,93,75,3.1,35.73
Eureka,285.15,87,90,2.6,40.8
Tecoanapa,300.15,83,75,2.6,16.99
Jalu,291.23,68,0,1.31,29.03
Lodja,293.055,97,36,1.01,-3.52
Huescar,283.98,100,92,0.81,37.81
Araouane,296.58,32,8,3.66,18.9
Ryotsu,292.15,39,0,5.7,38.08
Praia da Vitoria,292.15,82,75,11.41,38.73
Kapit,303.08,70,12,1.31,2.02
Kulhudhuffushi,301.155,100,20,5.41,6.62
Malindi,298.555,88,92,7.81,-3.22
Piqua,284.15,71,1,2.6,40.14
Kaifeng,290.15,25,0,1,34.8
Poya,297.38,98,12,5.71,-21.35
Marmora,268.98,71,0,0.86,44.46
Virginia Beach,286.15,57,20,3.1,36.85
San Policarpo,300.03,100,80,4.86,12.18
Snyder,289.15,67,90,3.6,32.72
Anshun,284.68,100,100,2.51,26.25
Mbala,287.705,79,0,7.36,-8.85
Sehithwa,291.555,40,88,9.86,-20.47
Bambui,288.23,96,68,1.11,6.01
Khanpur,294.48,49,0,3.66,28.65
Kromy,272.68,87,24,3.66,52.69
Kantang,298.15,94,40,1,7.42
Hay River,276.15,69,20,3.1,60.82
Crotone,290.905,100,76,0.86,39.09
Dombarovskiy,270.03,86,0,3.91,50.76
Yablonovo,278.15,93,0,4,50.85
Bilibino,260.655,73,68,1.36,68.06
San Cristobal,286.15,66,40,6.7,-0.39
Macae,287.305,95,0,1.91,-22.37
Nuuk,266.15,62,0,6.2,64.17
Mitu,276.93,89,24,1.21,36.2
Kjopsvik,277.15,100,92,4.6,68.1
Leczna,277.88,91,68,5.01,51.3
Walvis Bay,291.18,90,36,3.86,-22.95
Cap-aux-Meules,277.15,55,75,8.2,47.38
Lethem,297.53,94,88,1.36,3.38
Yulara,301.15,20,0,7.7,-25.24
Fairview,284.15,57,1,2.81,40.81
Monteagudo,288.43,97,48,0.56,-19.8
Moa,297.23,78,64,2.31,20.66
Clyde River,264.15,92,90,10.8,70.47
Pangoa,291.93,98,32,0.46,-12.12
Alcudia,285.15,100,20,1,39.85
Kuryk,286.805,100,92,5.21,43.18
Victoria,303.15,88,75,1.46,5.28
Sistranda,277.15,93,75,2.6,63.73
Husasau de Tinca,283.15,93,88,3.1,46.82
Porto Walter,300.705,71,44,0.96,-8.27
Conceicao do Araguaia,298.955,80,12,3.01,-8.26
Quatre Cocos,293.15,88,75,4.1,-20.21
Novoagansk,269.33,81,44,3.01,61.94
Jinchang,279.33,78,0,1.81,38.52
Encruzilhada do Sul,290.63,70,92,7.01,-30.54
Batemans Bay,298.08,49,24,1.51,-35.71
Skelleftea,274.15,80,0,4.1,64.75
Pavlovka,276.805,73,80,4.06,52.69
Rzhaksa,281.955,78,92,4.81,52.14
Koshurnikovo,270.08,82,80,2.41,54.3
Yeniseysk,273.23,96,88,2.71,58.45
Anloga,298.15,88,20,1.5,5.79
Karwar,299.455,74,0,1.11,14.8
Shelbyville,287.15,62,1,3.1,39.41
Rio Cuarto,287.15,87,90,4.1,-33.13
Arman,269.15,85,0,2,59.7
